campaign_id,campaign_name,ad_group_id,ad_group_name,Date,banner_group_spend,views,clicks,CTR,average_cpc,DIRECT PPV,DIRECT UNITS,INDIRECT UNITS,units_direct_view,units_indirect_view,CVR,DIRECT REVENUE,INDIRECT REVENUE,revenue_direct_view,revenue_indirect_view,Direct ROI,Indirect ROI
5UEN8YRWX2QD,Gokixx-Category,HDTQES8DXEXZ,boat-boult-mivi,29/9/2022,23524,534569,5881,1.1001,4,1763,8,0,18,0,0.0044,6942,0,13482,0,0.8682,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,4/9/2022,11620,479127,2324,0.485,5,991,11,0,17,0,0.012,10062,0,16219,0,2.2617,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,5/9/2022,7495,326187,1499,0.4596,5,553,3,0,10,0,0.0087,2247,0,8966,0,1.4961,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,1/9/2022,19532.8,302179,3186,1.0543,6.1308,1379,12,0,9,0,0.0066,9592,0,8024,0,0.9019,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,10/9/2022,7319.5,297104,1450,0.488,5.0479,528,6,0,17,0,0.0159,6184,0,14754,0,2.8606,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,11/9/2022,7895,291250,1579,0.5421,5,595,3,0,9,0,0.0076,2312,0,14979,0,2.1901,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,3/9/2022,7115,276837,1423,0.514,5,723,6,0,9,0,0.0105,5964,0,8345,0,2.0111,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,13-09-2022,25043.6,265644,3191,1.2012,7.8482,1311,16,0,17,0,0.0103,12926,0,12383,0,1.0106,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,5/9/2022,19682.8,261141,2726,1.0439,7.2204,1502,9,0,7,0,0.0059,7440,0,6239,0,0.695,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,7/9/2022,18125,254724,3625,1.4231,5,1391,7,0,4,0,0.003,8089,0,4056,0,0.6701,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,6/9/2022,15509.2,211285,2032,0.9617,7.6325,1000,17,0,9,0,0.0128,13711,0,7787,0,1.3861,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,9/9/2022,19525.6,202681,2344,1.1565,8.33,989,12,0,11,0,0.0098,7662,0,9347,0,0.8711,0
