Date,Currency,Campaign Name,Attribution type,Purchased ASIN,14 Day Total Sales,14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand
"Jul 1, 2022",INR,Gocrush_SB_ASIN_Trgt,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.0.0,0,0,0.00%,0.00%,0.00%
"Jul 1, 2022",INR,Gocrush_900_SBV_Video,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.6766.08,16,16,Rs.6766.08,16,16,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.8130.48,7,7,Rs.8130.48,6,6,100.00%,85.70%,85.70%
"Jul 1, 2022",INR,Gobuds902_SBV_Video,Promoted,B09V196GQR,Rs.3896.62,2,2,Rs.3896.62,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.845.76,2,2,Rs.845.76,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,GOSURROUND_SB,Promoted,B09YV3VFWD,Rs.11862.72,2,2,Rs.11862.72,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gocrush_900_SBV_UnboxingVideo,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass 900_SBv_Video,Promoted,B09P3GQ9TQ,Rs.338.14,2,2,Rs.338.14,1,1,100.00%,50.00%,50.00%
"Jul 1, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.2287.29,1,1,Rs.2287.29,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.761.01,2,2,Rs.761.01,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.4436.4,15,15,Rs.4436.4,15,15,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,GOSURROUND_SB,Promoted,B09YV5LC7F,Rs.20336.43,3,3,Rs.20336.43,3,3,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,SB_Product_Targeting,Promoted,B09P36YZN7,Rs.2287.29,1,1,Rs.2287.29,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gocrush_900_SBV_Video2,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.0.0,0,0,0,0.00%,0.00%
